,Topic Features,,,,W2V + RAE,,,,SVD Features,,,
,Precision,Recall,F1,Accuracy,Precision,Recall,F1,Accuracy,Precision,Recall,F1,Accuracy
split01,0.740,0.611,0.669,0.88996,0.67063,0.71216,0.69077,0.88368,0.675,0.625,0.6490,0.87678
split02,0.702,0.593,0.643,0.87992,0.67784,0.64908,0.66315,0.87971,0.666,0.631,0.6480,0.87531
split03,0.706,0.584,0.639,0.87971,0.68148,0.63303,0.65636,0.87908,0.687,0.651,0.6685,0.88243
split04,0.709,0.580,0.638,0.87989,0.67169,0.66399,0.66782,0.8795,0.671,0.648,0.6593,0.87782
split05,0.711,0.617,0.661,0.88431,0.67898,0.67431,0.67664,0.88243,0.679,0.611,0.6432,0.87657
avg,0.7136,0.597,0.650,0.882758,0.676124,0.666514,0.67095,0.88088,0.6756,0.6332,0.6536,0.87778
stdev,0.0151,0.0164,0.0141,0.0045,0.0047,0.0299,0.0133,0.0020,0.0080,0.0166,0.0102,0.0027
